student_id,age,gender,study_hours_per_day,sleep_hours_per_day,social_media_hours_per_day,attendance_pct,part_time_job,extracurricular,tutoring,parental_education,internet_access,stress_level,previous_score,exam_score
STU3410,16,Female,3.2,6.2,4.5,75.2,No,No,No,Masters,Yes,9.0,36.2,65.6
STU2016,17,Female,0.6,5.9,4.5,68.3,No,No,No,High School,Yes,5.0,57.7,51.4
STU3092,17,Female,4.9,6.8,5.5,85.1,No,No,No,High School,Yes,8.0,75.4,89.8
STU2783,15,Female,4.8,7.7,1.9,73.5,No,No,No,Bachelors,Yes,2.0,75.5,100.0
STU3145,18,Male,3.0,7.8,3.7,84.3,No,No,Yes,High School,No,5.0,86.1,88.1
STU3054,17,Male,5.4,6.6,3.4,75.5,No,No,No,Bachelors,Yes,3.0,72.6,92.2
STU2402,16,Female,4.8,6.8,2.4,100.0,No,No,No,Masters,Yes,6.0,70.7,89.9
STU2637,16,Male,2.9,4.8,4.1,92.8,No,Yes,No,Bachelors,Yes,7.0,78.4,71.5
STU2894,18,Female,3.5,9.2,3.7,83.3,Yes,No,No,Bachelors,Yes,6.0,63.5,81.9
STU3034,15,Female,1.6,6.2,5.9,75.6,Yes,No,No,Masters,Yes,6.0,63.0,55.6
STU2471,16,Female,6.0,3.7,1.4,71.9,No,No,Yes,Bachelors,Yes,6.0,61.5,90.6
STU3013,16,Female,5.3,7.3,0.1,76.0,No,Yes,No,Bachelors,Yes,9.0,55.9,80.5
STU2083,18,Female,3.3,8.4,3.4,86.5,No,Yes,Yes,Bachelors,Yes,7.0,31.9,73.8
STU2729,16,Male,4.2,8.3,2.8,95.1,No,Yes,No,Bachelors,Yes,3.0,66.8,95.1
STU3166,17,Male,3.9,8.8,3.1,79.5,No,Yes,No,High School,No,5.0,68.0,74.5
STU3220,17,Female,5.4,6.3,2.7,91.3,No,No,No,Masters,Yes,7.0,70.0,100.0
STU2821,18,Female,4.8,6.3,2.9,89.9,No,No,No,High School,Yes,7.0,63.4,78.8
STU2070,18,Male,1.0,7.5,1.0,82.7,No,No,No,Masters,Yes,5.0,59.9,68.8
STU2492,15,Female,3.3,6.8,2.7,83.5,No,Yes,No,Bachelors,No,7.0,76.3,72.1
STU2997,18,Male,3.6,5.8,2.9,91.7,No,No,No,Bachelors,Yes,7.0,68.6,79.8
STU2893,18,Male,2.5,,4.7,95.8,Yes,Yes,No,High School,Yes,8.0,59.2,62.2
STU2820,15,Male,5.0,7.9,1.8,100.0,Yes,Yes,No,High School,Yes,3.0,72.4,98.4
STU2221,17,Female,3.3,6.4,4.9,81.9,No,No,Yes,Bachelors,Yes,9.0,86.3,91.8
STU2577,17,Male,4.7,6.9,4.9,97.9,No,No,No,High School,Yes,3.0,62.9,91.9
STU3059,16,Male,0.8,8.4,4.8,86.2,No,No,No,Masters,Yes,7.0,64.5,68.2
STU3408,18,Male,2.6,7.3,6.3,94.6,No,No,Yes,Bachelors,Yes,5.0,81.7,80.1
STU2633,15,Male,2.1,5.7,3.6,86.5,No,No,No,Bachelors,Yes,9.0,88.9,80.7
STU2069,16,Female,4.4,8.6,2.0,83.0,Yes,No,Yes,Masters,Yes,5.0,60.8,98.8
STU2697,16,Male,4.5,8.0,3.3,81.2,Yes,Yes,No,High School,No,6.0,41.2,83.9
STU3323,16,Male,5.3,5.7,2.8,73.4,Yes,No,No,Bachelors,Yes,7.0,83.3,81.6
STU2509,15,Female,2.0,7.3,3.5,88.3,No,No,No,Bachelors,Yes,8.0,52.4,70.0
STU2061,18,Female,5.7,7.9,3.4,87.7,Yes,No,No,Bachelors,Yes,7.0,54.2,85.7
STU3261,17,Female,3.1,7.7,1.5,80.6,No,No,No,Bachelors,Yes,4.0,65.3,81.8
STU2355,16,Male,3.6,7.4,3.8,81.3,No,No,No,Masters,No,6.0,54.2,72.0
STU3069,15,Male,4.1,6.8,1.6,85.1,No,Yes,No,Masters,Yes,7.0,68.0,94.1
STU2818,18,Female,4.0,8.3,3.1,84.4,No,No,No,High School,Yes,7.0,65.4,79.6
STU3115,17,Male,4.2,7.6,1.1,81.3,No,No,No,Bachelors,Yes,6.0,57.1,89.1
STU3460,15,Female,6.1,6.4,2.7,82.6,Yes,Yes,No,High School,Yes,7.0,57.7,86.9
STU2050,16,Male,5.9,6.4,2.2,82.8,Yes,Yes,Yes,High School,Yes,5.0,81.6,98.0
STU2425,16,Male,1.4,8.7,0.6,86.3,No,No,Yes,High School,No,4.0,73.0,90.0
STU3337,16,Female,1.9,5.9,3.5,72.6,No,No,No,Bachelors,Yes,6.0,73.2,63.2
STU3435,15,Male,0.7,7.0,4.1,85.0,No,No,No,Masters,Yes,6.0,62.6,73.0
STU2869,15,Male,2.0,6.0,4.9,85.7,No,No,No,Masters,Yes,5.0,52.4,74.4
STU2688,17,Male,4.8,8.9,5.6,67.1,Yes,No,No,Bachelors,Yes,7.0,66.9,82.5
STU2991,15,Male,5.4,6.1,4.3,90.6,Yes,No,No,Bachelors,Yes,7.0,58.8,100.0
STU2610,15,Male,2.9,7.3,2.4,77.3,No,Yes,Yes,PhD,Yes,6.0,66.9,89.9
STU2269,18,Male,3.6,9.3,4.1,87.8,Yes,No,No,High School,Yes,8.0,84.2,100.0
STU2103,17,Female,3.2,7.8,4.0,91.2,No,No,No,High School,Yes,5.0,73.9,86.7
STU2606,15,Male,1.8,7.9,3.0,90.9,Yes,Yes,No,Masters,Yes,5.0,92.0,84.0
STU2239,16,Male,4.3,8.5,3.2,95.3,Yes,No,Yes,High School,No,6.0,85.9,88.8
STU3450,18,Male,7.2,7.3,3.1,92.1,No,Yes,No,Bachelors,Yes,8.0,53.0,97.1
STU2188,16,Male,3.2,6.7,2.7,78.1,No,No,No,Bachelors,Yes,6.0,71.0,66.6
STU2710,16,Male,1.5,6.3,5.9,76.7,No,No,No,High School,Yes,9.0,69.7,58.7
STU3269,18,Male,2.6,8.2,4.4,90.5,Yes,No,No,Bachelors,Yes,6.0,68.9,81.8
STU2303,17,Female,4.3,4.4,3.6,92.8,No,No,No,Masters,Yes,6.0,48.7,72.2
STU2472,16,Female,4.1,4.6,3.6,86.6,No,Yes,No,,Yes,7.0,85.6,81.8
STU3196,15,Female,1.7,6.0,1.8,52.6,No,No,No,PhD,Yes,7.0,63.7,57.7
STU2529,15,Male,2.3,7.4,2.7,94.3,No,No,No,Masters,Yes,6.0,59.3,82.9
STU3486,17,Male,1.6,7.9,1.6,100.0,No,No,No,PhD,Yes,4.0,72.4,88.9
STU2085,16,Male,2.3,7.3,4.1,87.5,No,Yes,No,Bachelors,Yes,1.0,49.8,68.5
STU2400,17,Male,4.4,7.9,1.7,87.1,No,Yes,No,Bachelors,Yes,5.0,85.7,83.7
STU3423,15,Male,3.6,7.7,1.1,97.9,No,Yes,Yes,Masters,Yes,3.0,84.8,100.0
STU2439,18,Female,3.0,6.0,1.2,93.8,Yes,Yes,No,High School,No,5.0,79.8,78.1
STU2854,16,Male,2.9,7.7,2.3,86.0,No,No,Yes,Masters,Yes,6.0,81.3,85.7
STU2733,15,Male,3.4,7.3,3.1,89.4,No,No,Yes,Masters,Yes,8.0,76.8,90.1
STU3101,16,Female,3.8,8.1,4.3,74.4,Yes,No,Yes,High School,Yes,9.0,78.0,89.2
STU2654,15,Male,4.5,7.5,3.9,80.8,Yes,Yes,Yes,Masters,Yes,4.0,87.3,90.4
STU3304,16,Female,3.9,6.8,3.4,88.3,No,Yes,No,High School,Yes,3.0,55.4,80.6
STU2229,15,Female,1.5,6.9,4.8,81.3,Yes,Yes,No,PhD,Yes,5.0,51.1,74.1
STU2194,16,Male,2.2,6.3,6.0,86.6,Yes,Yes,No,High School,Yes,6.0,60.6,64.5
STU2004,18,Female,2.5,5.8,0.0,74.2,Yes,No,No,PhD,Yes,4.0,67.8,87.3
STU3338,15,Female,6.1,4.8,2.6,75.0,Yes,No,No,High School,Yes,2.0,74.7,92.2
STU2562,16,Female,1.1,,2.5,78.8,Yes,Yes,No,Masters,No,10.0,71.6,65.6
STU3474,15,Female,4.1,7.6,3.2,95.7,No,No,No,High School,Yes,6.0,80.5,93.9
STU2949,15,Male,8.6,8.0,2.9,77.7,No,No,No,Bachelors,No,5.0,53.8,100.0
STU2851,16,Female,3.5,7.6,1.6,81.3,Yes,No,No,High School,Yes,7.0,54.9,77.1
STU3200,18,Male,3.7,7.4,2.5,90.0,No,Yes,Yes,Masters,Yes,6.0,54.8,81.5
STU2761,17,Female,3.9,6.5,5.7,74.0,No,No,No,Bachelors,Yes,4.0,78.8,80.4
STU3389,18,Female,6.3,7.2,3.5,100.0,No,Yes,No,,Yes,6.0,82.3,100.0
STU3347,17,Male,2.4,6.5,1.5,99.6,No,No,No,Bachelors,Yes,3.0,67.0,76.2
STU2975,15,Male,3.5,9.0,1.6,76.2,Yes,Yes,Yes,Masters,Yes,6.0,58.5,76.1
STU2602,15,Male,3.8,7.4,3.2,87.0,No,No,No,Masters,No,7.0,55.1,76.2
STU2485,16,Female,3.9,6.6,2.7,84.2,Yes,Yes,No,High School,Yes,8.0,47.6,65.9
STU2986,16,Male,2.1,,4.7,90.2,Yes,No,No,Bachelors,Yes,4.0,60.0,70.8
STU2424,16,Male,2.3,7.4,4.5,100.0,No,Yes,No,Masters,Yes,8.0,59.2,78.2
STU2343,15,Female,4.7,6.0,1.4,100.0,Yes,Yes,No,Bachelors,Yes,4.0,70.9,92.8
STU2478,18,Male,5.0,5.3,3.9,81.1,No,No,No,Bachelors,Yes,7.0,87.7,83.1
STU2592,16,Female,5.1,7.6,0.7,92.9,No,No,No,High School,Yes,8.0,88.9,100.0
STU3411,16,Female,2.5,6.8,1.1,84.1,Yes,No,No,High School,No,4.0,90.1,89.3
STU3094,15,Male,5.1,4.6,5.1,80.5,No,No,No,High School,Yes,7.0,64.1,73.8
STU3150,16,Female,4.7,7.0,4.8,79.0,No,No,No,Bachelors,Yes,5.0,53.3,85.8
STU3235,18,Male,2.0,8.3,5.9,76.1,No,Yes,No,High School,Yes,4.0,60.7,59.7
STU3018,17,Female,3.7,8.4,2.3,87.7,Yes,Yes,No,Bachelors,Yes,7.0,42.9,71.7
STU2321,16,Female,2.9,7.2,5.1,85.6,No,Yes,No,High School,Yes,7.0,68.4,72.9
STU2751,18,Female,2.6,5.9,2.2,82.5,No,No,Yes,Bachelors,Yes,7.0,83.9,81.9
STU2716,15,Male,3.3,7.3,4.3,77.0,No,No,No,High School,Yes,5.0,60.5,51.1
STU2456,16,Female,2.3,8.0,1.9,91.8,No,No,No,Masters,Yes,7.0,70.6,84.6
STU2944,18,Male,2.7,4.3,4.4,86.8,Yes,Yes,Yes,PhD,Yes,4.0,58.8,76.0
STU3027,16,Male,5.4,7.2,4.2,71.1,No,No,No,High School,Yes,7.0,85.6,90.3
STU2099,18,Male,2.5,6.5,4.3,88.5,No,No,No,Masters,No,5.0,67.2,79.7
STU3055,16,Female,2.6,7.3,2.9,97.3,Yes,No,No,High School,Yes,5.0,69.3,74.8
STU2876,15,Female,3.8,6.9,0.0,79.5,Yes,Yes,Yes,Masters,Yes,4.0,51.0,88.4
STU2266,17,Female,3.4,5.4,3.6,81.7,Yes,Yes,No,PhD,Yes,8.0,84.7,77.5
STU2593,16,Male,5.3,6.1,2.5,85.8,No,No,No,Masters,Yes,6.0,61.1,93.3
STU2350,18,Female,2.4,8.0,4.8,77.0,No,No,No,Masters,Yes,7.0,71.9,73.6
STU2849,17,Male,3.9,7.9,3.3,97.8,Yes,Yes,No,Masters,Yes,6.0,83.4,89.6
STU2595,15,Male,4.6,6.3,2.8,97.3,Yes,No,No,High School,Yes,6.0,53.1,88.3
STU3158,18,Male,4.9,7.1,4.5,80.1,Yes,No,No,High School,Yes,5.0,55.6,67.5
STU2170,15,Male,2.3,7.4,7.6,78.3,Yes,Yes,Yes,Bachelors,Yes,5.0,60.5,52.7
STU3374,15,Male,3.5,7.7,1.8,72.9,Yes,No,No,Bachelors,Yes,5.0,66.0,81.0
STU2352,15,Male,2.4,7.2,1.2,89.5,No,Yes,No,Bachelors,No,5.0,91.1,84.3
STU3470,18,Male,2.8,8.5,6.1,78.9,No,Yes,No,High School,Yes,4.0,63.0,73.1
STU2324,17,Male,1.7,7.0,3.2,91.4,No,No,No,Masters,Yes,5.0,70.1,78.5
STU3012,16,Male,4.5,6.1,5.9,77.4,No,No,Yes,Masters,Yes,5.0,89.9,100.0
STU2744,15,Male,1.9,6.8,4.1,83.0,No,No,No,High School,Yes,7.0,79.2,82.3
STU2193,16,Female,3.8,5.3,0.5,94.3,Yes,Yes,Yes,High School,Yes,1.0,97.4,100.0
STU2646,18,Female,5.2,8.2,3.4,91.1,No,No,No,High School,Yes,3.0,77.4,99.3
STU2378,15,Male,5.2,6.4,3.0,77.6,No,Yes,Yes,Masters,No,10.0,99.8,100.0
STU2885,17,Female,2.2,5.2,2.8,86.3,Yes,Yes,No,Bachelors,Yes,4.0,59.8,77.8
STU3395,18,Male,4.3,5.3,3.3,85.9,Yes,Yes,No,High School,Yes,7.0,67.9,92.7
STU3357,15,Male,1.8,5.4,2.4,79.0,No,Yes,No,PhD,No,5.0,67.0,69.4
STU3401,18,Female,4.4,6.3,3.4,94.4,No,Yes,No,Masters,No,4.0,59.8,90.2
STU2389,15,Female,5.7,6.6,0.0,86.4,No,Yes,No,Masters,Yes,4.0,82.5,100.0
STU2976,15,Female,4.8,6.7,2.8,86.5,No,Yes,No,Bachelors,Yes,2.0,78.0,100.0
STU2746,18,Female,4.9,6.3,2.9,93.3,No,Yes,No,Masters,Yes,8.0,71.5,94.0
STU2790,17,Male,5.6,7.6,0.0,94.6,No,No,No,High School,Yes,4.0,88.6,100.0
STU2263,15,Male,5.8,7.0,0.8,92.0,No,No,No,Masters,Yes,7.0,62.9,100.0
STU2972,18,Male,6.4,5.7,4.3,78.0,No,Yes,Yes,Masters,Yes,9.0,71.9,97.1
STU3472,18,Male,2.9,8.5,4.8,83.2,No,No,No,Masters,Yes,3.0,85.9,93.7
STU2339,16,Female,3.3,7.4,4.5,93.2,No,No,No,Bachelors,Yes,5.0,60.2,85.4
STU3112,18,Female,0.0,9.6,3.1,60.7,No,Yes,No,Bachelors,Yes,2.0,59.7,56.5
STU2140,18,Male,3.1,7.2,5.7,96.5,No,No,No,Bachelors,No,7.0,48.6,78.8
STU2290,17,Female,5.1,6.6,7.1,62.1,Yes,Yes,No,Bachelors,Yes,7.0,75.2,74.4
STU2332,17,Male,3.9,7.9,2.2,88.1,No,Yes,No,Masters,Yes,6.0,66.9,91.5
STU3373,16,Male,2.5,7.2,0.8,100.0,No,No,Yes,Bachelors,Yes,5.0,66.0,79.9
STU3398,17,Female,3.2,7.6,1.3,89.3,No,No,No,High School,Yes,9.0,71.7,79.4
STU3464,18,Female,5.8,7.1,5.3,94.3,No,No,No,High School,Yes,6.0,61.7,82.6
